LaunchSite,NameOfSatellite,CountryOrgOfUNRegistry,CountryOfOperatoOwner,Operator.Owner,Users,Purpose,ClassOfOrbit,Perigee,Apogee,MeanDistance,Radius,LaunchMass,DateOfLaunch,Contractor,CountryOfContractor,LaunchVehicle,LaunchVehicleCategory,lat,lon
Guiana Space Center,Nilesat 201,NR,USA,Egyptian Radio and TV Union ,Government,Communications,GEO,35795,35813,35804,47.8,3200,04-Aug-10,Thales Alenia Space,France,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,SES-2,USA,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,35778,35798,35788,47.79,3200,21-Sep-11,Orbital Sciences Corp.,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Cape Canaveral,"UFO-6 (USA 114, UFO F6 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,35744,35829,35787,47.79,3200,22-Oct-95,Boeing Satellite Systems,USA,Atlas 2,Atlas,28.5,-81
Cape Canaveral,"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,35738,35835,35787,47.79,3200,25-Jul-96,Boeing Satellite Systems,USA,Atlas 2,Atlas,28.5,-81
Cape Canaveral,"UFO-2 (USA 95) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,35766,35807,35787,47.79,3200,03-Sep-93,Boeing Satellite Systems,USA,Atlas 2,Atlas,28.5,-81
Cape Canaveral,"UFO-11  (USA 174) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,35786,35787,35787,47.79,3200,18-Dec-03,Boeing Satellite Systems,USA,Atlas 3,Atlas,28.5,-81
Cape Canaveral,"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,35738,35834,35786,47.79,3200,24-Nov-99,Boeing Satellite Systems,USA,Atlas 2,Atlas,28.5,-81
Cape Canaveral,"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,35763,35775,35769,47.77,3200,29-Jan-95,Boeing Satellite Systems,USA,Atlas 2,Atlas,28.5,-81
Cape Canaveral,"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)",USA,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,GEO,35768,35801,35785,47.78,3200,24-May-06,Boeing Satellite Systems,USA,Delta 4,Delta,28.5,-81
Cape Canaveral,"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",USA,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,GEO,35170,35170,35170,47.17,3200,27-Jun-09,Boeing Satellite Systems,USA,Delta 4,Delta,28.5,-81
Baikonur Cosmodrome,Intelsat 18 (IS-18),USA,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35775,35797,35786,47.79,3200,05-Oct-11,Orbital Sciences Corp.,USA,Zenit,Other,45.6,63.4
Baikonur Cosmodrome,Tselina-2 (Cosmos 2428),Russia,Russia,Ministry of Defense,Military,Earth Observation,LEO,844,858,851,12.85,3200,29-Jun-07,KB Yuznoye,Ukraine,Zenit 2M,Other,45.6,63.4
Baikonur Cosmodrome,Intelsat 23,NR,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35781,35797,35789,47.79,3200,14-Oct-12,Orbital Sciences Corp.,USA,Proton/M,Proton,45.6,63.4
Cape Canaveral,Eutelsat 36A (Eutelsat W-4) ,France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35766,35806,35786,47.79,3190,24-May-00,Alcatel Space Industries,France,Atlas 3A,Atlas,28.5,-81
Guiana Space Center,GSAT-16,NR (1/15),USA,Indian Space Research Organization (ISRO),Government,Communications,GEO,35776,35798,35787,47.79,3181,06-Dec-14,Indian Space Research Organization (ISRO),India,Ariane 5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,Sky Mexico-1,NR,USA,Sky Mexico,Commercial,Communications,GEO,35788,35800,35794,47.79,3180,27-May-15,Orbital ATK,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Cape Canaveral,"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,35768,35809,35789,47.79,3180,08-Mar-02,Boeing Satellite Systems,USA,Atlas 2A,Atlas,28.5,-81
Cape Canaveral,"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,35768,35808,35788,47.79,3180,30-Jun-00,Boeing Satellite Systems,USA,Atlas 2A,Atlas,28.5,-81
Cape Canaveral,"TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,35768,35802,35785,47.79,3180,04-Dec-02,Boeing Satellite Systems,USA,Atlas 2A,Atlas,28.5,-81
Cape Canaveral,"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,35693,35878,35786,47.79,3180,29-Sep-88,TRW Defense and Space Systems Group,USA,Space Shuttle (STS 26),Other,28.5,-81
Cape Canaveral,"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",USA,USA,SES Americom (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial/Government,Communications,GEO,35773,35796,35785,47.78,3180,02-Aug-91,TRW Defense and Space Systems Group,USA,Space Shuttle (STS 43),Other,28.5,-81
Cape Canaveral,"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,35767,35803,35785,47.79,3180,13-Jul-95,TRW Defense and Space Systems Group,USA,Space Shuttle (STS 70),Other,28.5,-81
Cape Canaveral,"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",USA,USA,NASA/SES Americom (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial/Government,Communications,GEO,35773,35787,35780,47.78,3180,13-Jan-93,TRW Defense and Space Systems Group,USA,Space Shuttle (STS 54),Other,28.5,-81
Cape Canaveral,"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)",USA,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,GEO,35786,35788,35787,47.79,3175,04-Mar-10,Boeing Satellite Systems,USA,Delta 4,Delta,28.5,-81
Cape Canaveral,"Eutelsat 33B (Eutelsat 25C, Eutelsat 70A, Eutelsat W-5) ",France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35780,35790,35785,47.79,3170,20-Nov-02,Alcatel Space Industries,France,Atlas IIAS,Atlas,28.5,-81
Guiana Space Center,GSAT-15,NR (12/15),USA,Indian Space Research Organization (ISRO),Government,Communications,GEO,35782,35805,35794,47.79,3164,10-Jan-15,Indian Space Research Organization (ISRO),India,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,Eutelsat 8 West A (Atlantic Bird 2) ,France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35766,35806,35786,47.79,3150,25-Sep-01,Alcatel Space Industries,France,Ariane 4,Ariane,5.2079,-52.7724
Cape Canaveral,SES-8,NR,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,35777,35795,35786,47.79,3138,03-Dec-13,Orbital Sciences Corp.,USA,Falcon 9,Falcon,28.5,-81
Cape Canaveral,"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",Japan,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35779,35794,35787,47.79,3124,16-Feb-97,Boeing Satellite Systems,USA,Atlas 2AS,Atlas,28.5,-81
Cape Canaveral,Hispasat 1C ,Spain,USA,Hispasat,Commercial/Government/Military,Communications,GEO,35764,35808,35786,47.79,3112,04-Feb-00,Alcatel Space Industries,France,Atlas 2AS,Atlas,28.5,-81
Baikonur Cosmodrome,SES-3,NR,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,35850,35852,35851,47.85,3112,15-Jul-11,Orbital Sciences Corp.,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,USA,European Space Agency,Commercial/Government,Communications/Technology Development,GEO,35771,35803,35787,47.79,3105,12-Jul-01,Alenia Spazio,Italy,Ariane 5G,Ariane,5.2079,-52.7724
Guiana Space Center,INSAT 4A (Indian National Satellite),India,USA,Indian Space Research Organization (ISRO),Government,Communications,GEO,35777,35796,35787,47.79,3100,21-Dec-05,ISRO Satellite Center,India,Ariane 5G,Ariane,5.2079,-52.7724
Guiana Space Center,Turksat 3A,Turkey,USA,Turksat,Commercial,Communications,GEO,35778,35793,35786,47.79,3100,12-Jun-08,Thales Alenia Space,France,Ariane 5 ECA,Ariane,5.2079,-52.7724
Cape Canaveral,SDO (Solar Dynamics Observatory),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,GEO,35779,35791,35785,47.79,3100,11-Feb-10,Goddard Space Flight Center,USA,Atlas 5,Atlas,28.5,-81
Guiana Space Center,GSAT-8,India,USA,Indian Space Research Organization (ISRO),Government,Communications/Navigation,GEO,35782,35796,35789,47.79,3093,20-May-11,Indian Space Research Organization (ISRO),India,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,Athena-Fidus__(Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),France,USA,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,GEO,35784,35788,35786,47.79,3080,06-Feb-14,Thales Alenia Space,France,Ariane 5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,Thor-6,Norway,USA,Telenor Satellite Broadcasting,Commercial,Communications,GEO,35779,35794,35787,47.79,3050,29-Oct-09,Thales Alenia Space,France/Italy,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,Rascom-QAF 1R,NR,USA,Regional African Satellite Communications Organization (RASCOM),Commercial,Communications,GEO,35786,35787,35787,47.79,3050,04-Aug-10,Thales Alenia Space,France,Ariane 5,Ariane,5.2079,-52.7724
Sea Launch (Odyssey),Sicral 1B,Italy,USA,Italian Defense Ministry/Telespazio,Commercial/Military,Communications,GEO,35788,35802,35795,47.8,3038,20-Apr-09,Thales Alenia Space Italia,Italy,Zenit 3SL,Other,-27,-125
Guiana Space Center,INSAT 4B (Indian National Satellite),India,USA,Indian Space Research Organization (ISRO),Government,Communications,GEO,35760,35811,35786,47.79,3028,11-Mar-07,Indian Space Research Organization (ISRO),India,Ariane 5 ECA,Ariane,5.2079,-52.7724
Cape Canaveral,Thaicom-8,NR (6/16),USA,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,35843,35890,35867,47.87,3025,27-May-16,Orbital ATK,USA,Falcon 9,Falcon,28.5,-81
Guiana Space Center,Palapa C2 ,Indonesia,USA,PT Indosat,Commercial,Communications,GEO,35784,35789,35787,47.79,3014,15-May-96,Boeing Satellite Systems,USA,Ariane 44L,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Astra 1F ,Luxembourg,USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,35778,35797,35788,47.79,3010,18-Apr-96,Hughes,USA,Proton K,Proton,45.6,63.4
Guiana Space Center,Intelsat New Dawn (Intelsat 28),NR,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35800,35892,35846,47.85,3000,22-Apr-11,Orbital Sciences Corp.,USA,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,ArSat 1,Argentina,USA,ArSat,Commercial,Communications,GEO,35778,35795,35787,47.79,3000,16-Oct-14,INVAP S.E.,Argentina,Ariane 5 ECA,Ariane,5.2079,-52.7724
Xichang Satellite Launch Center,"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,USA,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,35778,35795,35787,47.79,3000,30-May-98,Lockheed Martin,USA,Long March 3B,Long March,28.25,102
Guiana Space Center,JCSat 1B (JCSAT 5),Japan,USA,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,35778,35794,35786,47.79,2982,02-Dec-97,Boeing Satellite Systems,USA,Ariane 4,Ariane,5.2079,-52.7724
Guiana Space Center,ArSat 2,Argentina,USA,ArSat,Commercial,Communications,GEO,35786,35801,35794,47.79,2977,30-Sep-15,INVAP S.E.,Argentina,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Yamal-401,Russia,USA,Gazprom Space Systems,Commercial,Communications,GEO,35761,35822,35792,47.79,2976,15-Dec-14,ISS-Reshetnev,Russia,Proton M,Proton,45.6,63.4
Guiana Space Center,Vinasat 2,NR,USA,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,GEO,35742,35776,35759,47.76,2970,15-May-12,Lockheed Martin Commercial Space Systems,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,"Eutelsat 33C (Eutelsat 28A, Eurobird 1, Eurosat 1)",France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35788,35794,35791,47.79,2950,08-Mar-01,Alcatel Space Industries,France,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,INSAT 3A (Indian National Satellite),India,USA,Indian Space Research Organization (ISRO),Government,Earth Observation,GEO,35780,35793,35787,47.79,2950,09-Apr-03,ISRO Satellite Center,India,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,Amazonas-4A,NR,USA,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,35784,35795,35790,47.79,2938,22-Mar-14,Orbital Sciences Corp.,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,Astra 1D ,Luxembourg,USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,35776,35795,35786,47.79,2924,01-Nov-94,Hughes,USA,Ariane 42P,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Radarsat-2 ,Canada,Nigeria,Radarsat International,Commercial,Earth Observation,LEO,791,793,792,12.79,2924,14-Dec-07,"MacDonald, Dettwiler/Thales Alenia Spazio",Canada/Italy,Soyuz,Soyuz,45.6,63.4
Cape Canaveral,"Eutelsat 48A (Eutelsat W-48, Eurobird 9, Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)",France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35757,35815,35786,47.79,2915,21-Nov-96,Matra Marconi Space (Astrium),France/Germany/UK,Delta 2,Delta,28.5,-81
Guiana Space Center,BSAT-3C/JCSat 110-R,Japan,USA,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Commercial,Communications,GEO,35784,35787,35786,47.79,2910,06-Aug-11,Lockheed Martin Commercial Space Systems,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Cape Canaveral,"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",Japan,USA,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,33782,37768,35775,47.78,2900,15-Feb-99,Boeing Satellite Systems,USA,Atlas 2AS,Atlas,28.5,-81
Guiana Space Center,Mexsat-3 (Mexsat Bicentenario),Mexico,USA,Mexico Telecomm,Government/Military,Communications,GEO,35784,35791,35788,47.79,2900,19-Dec-12,Orbital Sciences Corp.,USA,Atlas 5 ECA,Atlas,5.2079,-52.7724
Tanegashima Space Center,MTSAT-2 (Multi-Functional Transport Satellite),Japan,USA,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,GEO,35776,35797,35787,47.79,2900,18-Feb-06,Mitsubishi Electric/Boeing/Alcatel,Japan,H2A,Other,30.4,131
Baikonur Cosmodrome,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,USA,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,35777,35794,35786,47.79,2894,26-Sep-99,Lockheed Martin,USA,Proton,Proton,45.6,63.4
Xichang Satellite Launch Center,Optus B3,Australia,USA,Optus Communications (Parent: Signapore Telecom),Commercial,Communications,GEO,35778,35796,35787,47.79,2858,28-Aug-94,Hughes Space and Communications,USA,Long March CZ-2E,Long March,28.25,102
Guiana Space Center,Koreasat 6 (Mugungwha 6),South Korea,USA,KT Corporation,Commercial,Communications,GEO,35780,35794,35787,47.79,2850,29-Dec-10,Orbital Sciences Corp.,USA,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,MSAT 1 ,Canada,USA,Mobile Satellite Ventures,Commercial,Communications,GEO,35763,35809,35786,47.79,2850,20-Apr-96,Spar Aerospace,Canada,Ariane 42P,Ariane,5.2079,-52.7724
Cape Canaveral,"MSAT 2 (AMSC-1, ACTel-1)",USA,USA,Mobile Satellite Ventures,Commercial,Communications,GEO,35776,35796,35786,47.79,2850,07-Apr-95,Hughes Communications Inc.,USA,Atlas 2A,Atlas,28.5,-81
Cape Canaveral,"AMC-3 (Americom 3, GE-3)",USA,USA,SES World Skies,Commercial,Communications,GEO,35777,35795,35786,47.79,2845,04-Sep-97,Lockheed Martin Commercial Space Systems,USA,Atlas 2AS,Atlas,28.5,-81
Guiana Space Center,Thaicom-5,NR,USA,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,35777,35796,35787,47.79,2800,27-May-06,Alcatel Alenia Space,France,Ariane 5 ECA,Ariane,5.2079,-52.7724
Cape Canaveral,"AMC-1 (Americom 1, GE-1)",USA,USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,35772,35800,35786,47.79,2783,08-Sep-96,Lockheed Martin Commercial Space Systems,USA,Atlas 2A,Atlas,28.5,-81
Vandenberg AFB,Landsat 8,USA,Japan,NASA/US Geological Survey,Government,Earth Observation,LEO,700,705,703,12.7,2780,11-Feb-13,Orbital Sciences Corp.,USA,Atlas 5,Atlas,34.4,-120.35
Baikonur Cosmodrome,Meteor-M N-2,Russia,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,LEO,819,828,824,12.82,2778,08-Jul-14,VNIIEM,Russia,Soyuz 2-1b,Soyuz,45.6,63.4
Guiana Space Center,AsiaStar ,USA,USA,1Worldspace,Commercial,Communications,GEO,35773,35801,35787,47.79,2775,21-Mar-00,Alcatel Space Industries,France,Ariane 5G,Ariane,5.2079,-52.7724
Guiana Space Center,Telkom 1 ,Indonesia,USA,PT Telkomunikasi,Commercial,Communications,GEO,35778,35796,35787,47.79,2763,12-Aug-99,Lockheed Martin Missiles and Space,USA,Ariane 44P,Ariane,5.2079,-52.7724
Guiana Space Center,INSAT 3C (Indian National Satellite),India,USA,Indian Space Research Organization (ISRO),Government,Communications,GEO,35764,35809,35787,47.79,2750,23-Jan-02,ISRO Satellite Center,India,Ariane 4,Ariane,5.2079,-52.7724
Vandenberg AFB,Landsat 7 ,USA,Japan,NASA/US Geological Survey,Government,Earth Observation,LEO,702,703,703,12.7,2744,15-Apr-99,Lockheed Martin Missiles and Space,USA,Delta 2,Delta,34.4,-120.35
Baikonur Cosmodrome,"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",USA,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35774,35798,35786,47.79,2730,28-Aug-97,Hughes Space and Communications Group,USA,Proton K,Proton,45.6,63.4
Guiana Space Center,Afristar ,USA,USA,1Worldspace,Commercial,Communications,GEO,35770,35802,35786,47.79,2704,28-Oct-98,Matra Marconi Space-France,France,Ariane 44L,Ariane,5.2079,-52.7724
Guiana Space Center,Eutelsat 12 West-A (Atlantic Bird 1) ,France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35768,35805,35787,47.79,2700,28-Aug-02,Alenia Spazio,Italy,Ariane 5G,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Express AMU1 (Eutelsat 36C),NR (1/16),USA,Russian Satelite Communications Company (Intersputnik),Commercial,Communications,GEO,35792,35795,35794,47.79,2700,24-Dec-15,Airbus Defense and Space,France/Germany/Spain/UK,Proton M,Proton,45.6,63.4
Guiana Space Center,GSAT-7,India,USA,Indian National Satellite System ,Military,Communications,GEO,35757,35814,35786,47.79,2650,29-Aug-13,Indian Space Research Organization (ISRO),India,Ariane 5 ECA,Ariane,5.2079,-52.7724
Tanegashima Space Center,"DRTS (Data Relay Test Satellite, Kodama)",Japan,USA,National Space Development Agency,Government,Technology Development,GEO,35775,35799,35787,47.79,2650,10-Sep-02,Mitsubishi Electric,Japan,H2A,Other,30.4,131
Guiana Space Center,"AMC-2 (Americom 2, GE-2)",USA,USA,SES World Skies,Commercial,Communications,GEO,35774,35798,35786,47.79,2648,30-Jan-97,Lockheed Martin Commercial Space Systems,USA,Ariane 44L,Ariane,5.2079,-52.7724
Guiana Space Center,Vinasat 1,NR,USA,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,GEO,35782,35791,35787,47.79,2600,18-Apr-08,Lockheed Martin Commercial Space Systems,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Express-AM33,Russia,USA,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,35782,35791,35787,47.79,2600,28-Jan-08,NPO-PM/Thales Alenia Space,France/Russia,Proton M,Proton,45.6,63.4
Baikonur Cosmodrome,Express AM22 (Sesat 2),Russia,USA,Russian Satellite Communications Company (Intersputnik)/EUTELSAT,Commercial,Communications,GEO,35781,35790,35786,47.79,2600,28-Dec-03,NPO-PM/Alcatel,France/Russia,Proton K,Proton,45.6,63.4
Baikonur Cosmodrome,Express-AM3,Russia,USA,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,35777,35795,35786,47.79,2600,24-Jun-05,NPO-PM/Alcatel,France/Russia,Proton K,Proton,45.6,63.4
Baikonur Cosmodrome,"Express-A1R (Express 4A, Ekspress-A No. 4)",Russia,USA,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,35774,35798,35786,47.79,2600,10-Jun-02,NPO-PM/Alcatel,Russia,Proton K,Proton,45.6,63.4
Guiana Space Center,Sicral 1A ,Italy,USA,Italian Defense Ministry,Military,Communications,GEO,35769,35802,35786,47.79,2596,07-Feb-01,Alenia Spazio,Italy,Ariane 44L,Ariane,5.2079,-52.7724
Xichang Satellite Launch Center,Intelsat APR-2 (INSAT 2E),India,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35769,35804,35787,47.79,2550,03-Apr-99,Aerospatiale ,France,Long March CZ3B,Long March,28.25,102
Baikonur Cosmodrome,"Intelsat 15 (IS-15, JCSat 85)",USA,USA,"Intelsat, S.A./Sky Perfect JSAT Corp.",Commercial,Communications,GEO,35776,35798,35787,47.79,2550,30-Nov-09,Orbital Sciences Corp.,USA,Zenit 3SLB,Other,45.6,63.4
Baikonur Cosmodrome,Express-AM2,Russia,USA,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,35785,35788,35787,47.79,2542,29-Mar-05,NPO-PM/Alcatel,France/Russia,Proton K,Proton,45.6,63.4
Baikonur Cosmodrome,Express-AM44,Russia,USA,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,35987,35995,35991,47.99,2532,11-Feb-09,NPO-PM/Thales Alenia Space,France/Russia,Proton M,Proton,45.6,63.4
Guiana Space Center,Optus D3,Australia,USA,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,GEO,35775,35795,35785,47.79,2501,21-Aug-09,Orbital Sciences Corp.,USA,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,USA,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,35788,35794,35791,47.79,2500,29-Mar-02,Boeing Satellite Systems,USA,Ariane 44L,Ariane,5.2079,-52.7724
Guiana Space Center,AMC-21 (Americom 21),United Kingdom,USA,SES World Skies,Commercial,Communications,GEO,35778,35793,35786,47.79,2500,14-Aug-08,Orbital Sciences Corp.,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Jiuquan Satellite Launch Center,Tianhui 1-01,China,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,488,504,496,12.5,2500,24-Aug-10,DFH_Satellite_Co._Ltd.,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Tianhui 1-03,NR (12/15),China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,489,500,495,12.49,2500,26-Oct-15,DFH Satellite Co. Ltd.,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Tianhui 1-02,China,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,485,505,495,12.5,2500,06-May-12,DFH Satellite Co. Ltd.,China,Long March 2D,Long March,40.96,99.9
Baikonur Cosmodrome,"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35754,35817,35786,47.79,2500,17-Apr-00,Alcatel Space/NPO PM (Applied Mechanics),France/Russia,Proton K,Proton,45.6,63.4
Baikonur Cosmodrome,Raduga 1-M2 (Raduga 1-9),Russia,USA,Ministry of Defense,Military,Communications,GEO,35784,35788,35786,47.79,2500,28-Jan-10,Applied Mechanics (NPO),Russia,Proton M,Proton,45.6,63.4
Plesetsk Cosmodrome,Meridian-4,Russia,United Kingdom,Military Space Forces (VKS),Military,Communications,Elliptical,1722,38637,20180,32.18,2500,04-May-11,PO Polyot,Russia,Soyuz 2-1a,Soyuz,62.8,40.1
Plesetsk Cosmodrome,Meridian-7 (Meridian 17L),Russia,United Kingdom,Military Space Forces (VKS),Military,Communications,Elliptical,962,39398,20180,32.18,2500,30-Oct-14,ISS Reshetnev,Russia,Soyuz 2-1a,Soyuz,62.8,40.1
Plesetsk Cosmodrome,Meridian-3,Russia,United Kingdom,Military Space Forces (VKS),Military,Communications,Elliptical,2253,38105,20179,32.18,2500,02-Nov-10,PO Polyot,Russia,Soyuz 2-1a,Soyuz,62.8,40.1
Plesetsk Cosmodrome,Meridian-6 (Meridian 16L),Russia,United Kingdom,Military Space Forces (VKS),Military,Communications,Elliptical,1494,38860,20177,32.18,2500,14-Nov-12,ISS Reshetnev,Russia,Soyuz 2-1a,Soyuz,62.8,40.1
Guiana Space Center,Brazilsat B-4 (Brasilsat B-4),Brazil,USA,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,35772,35800,35786,47.79,2495,17-Aug-00,Boeing Satellite Systems,USA,Ariane 44LP,Ariane,5.2079,-52.7724
Guiana Space Center,Intelsat 11 (PAS 11),USA,USA,"PanAmSat (Intelsat, S.A.)",Commercial,Communications,GEO,35778,35795,35787,47.79,2491,05-Oct-07,Orbital Sciences Corp.,USA,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",South Korea,USA,Korea Aerospace Research Institute (KARI),Government,Earth Observation/Communications,GEO,35783,35791,35787,47.79,2460,26-Jun-10,EADS Astrium/Electronics and Telecommunications Research Institute (ETRI),South Korea,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Intelsat 16 (IS-16),USA,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35783,35791,35787,47.79,2450,12-Feb-10,Orbital Sciences Corp.,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,COMSATBw-2 (COmmunications SATellite f_r BundesWehr),Germany,USA,Armed Forces,Military,Communications,GEO,35780,35794,35787,47.79,2440,21-May-10,Thales Alenia Space,France/Italy,Ariane 5,Ariane,5.2079,-52.7724
